class,id,text
sarc,644,"emoticonxrolleyes  like i mentioned, i stopped using the 'l-word' because steeeeve and another kept shifting the focus of the conversation to demand that i prove that they knew they were telling a falsehood. boringly enough, their antics completely neutered threads into meaningless squabbling. the discussion about the topic of the thread stopped completely. they often did not even tried to debate that their statement was not false. steeeeve has a lovely habit of ignoring what he can't cope with. i am amused at how my name doesn't seem to be the focus of any of these 'liar!' threads, but that doesn't stop me from bringing me up here. obsess much steeeeve?"
notsarc,950,"dear chloe, do you really want women tried for murder because they decide to take a pill that will cause an abortion? that is the only logical position a court can take once a zygote, embryo and fetus are legislated into the status of human beings. if one kills a human being, one is guilty of murder."
notsarc,156,"i'm not really surprised at the bush administrations lack of a forest management plan. he known for not being an enviromentally-friendly president. forest fires are usually a natural occurance. they are often good for the eco-systems.it's the man made disasters that are the problem. we can't stop forest fires, but we can keep the property damage to a minimum by thining forests, building access roads where posible to fight the fires, and have stricter control over timber harvests. often the timber companies over-cut certain areas, leaving the lanscape a barren, lifeless terrain, not suited for wildlife habitat. soil erosion can become a problem also, as the silt from the soil erosion pollutes the streams and damages the fish habitat. the government needs a good forest management plan for public lands, and more funding for personel to impliment the current programs of forest management."
notsarc,157,"while i can't say i'm a history buff, i'm not shocked about all that either. perhaps it's because i'm mostly a misanthropist."
sarc,1113,i love how you managed to make a counter-troll sound like a serious reply :)
notsarc,175,"he'll get to you eventually, he's doing them in order of points. lol though i'm disappointed to say that a lot of people, including myself, are starting to lose interest in the roasts. i'm not surprised though, because there's a lot of inactive users."
sarc,650,i am equally astonished you two road apples don't recognize satire when you see it emoticonxgood
sarc,679,"michele i am surprised you believe a politician, you must be mellowing in your old age........... eventually the 9th circuit will here the california issue.....oh and i know where the 9th circuit court is........."
notsarc,414,that explains figure 6 of the following? its a flood zone of a riverbed? how about other areas where there are trees growing through 2 separate coal seams? google image result for http://www.grisda.org/origins/images/24017-12.jpg this helps make my point about review of evolutionary books. my personal review of this small part of some book explaining how the petrified forest came to be because of a riverbed elsewhere is a big thumbs down. if that is the best you got i am looking elsewhere for answers. shame on you for accepting that from your evolutionary high priest. can you even see that no explanation was given?
sarc,559,"and bill clinton didn't? obama doesn't? emoticonxdonno let me help you with that. emoticonxangel she's a conservative! i'll bet her upcoming debate with biden will get far more attention than mccain/obama did! i'll sure be watching! word has it that the moderator is an obama lover.  i'm just surprised that so many consider it so important how one performs in these quick witted, personality contests. just because a person is slightly off the mark in wits doesn't mean he/she would not be a good leader - able to make sound political decisions.  looks aside, pelosi's a dingbat compared to palin. she gets a free pass from the news media - ho hum."
notsarc,110,"i recommend that gay people stay out of and move out of the state of virginia. thanks to pat the nazi robertson and jerry the hun falwel virginia has become the most hostile in the country towards gay and lesbians. no contract, including wills, powers or attorney, and even the joint purchase of a house, may be made by people of the same sex. this is one of the most evil laws that has been passed and will be used against the surviving spouses of gay people by evil christianist realetives to invalidate wills and powers of attorney's for god's sake stay out of the evil state of virginia"
notsarc,454,'whose illegal war? america isn't even there to be at war anymore!' wow. please tell me you're joking?
sarc,1108,i love how the apple fan is illiterate. what exactly is the great thing that apple invented?
sarc,494,you don't see me making similar knee-jerk reactions. woopdee fucking doo. but people should have a choice who they spend the rest of their life with. well done darling. but being an american you should know that in marriage people choose who they spend the next couple of years with not the rest of their lives. now let's get back to the facts - where in an arranged marriage does it say the 2 people getting arranged don't have a choice?
notsarc,24,"simone darling, please stop. your making yourself look foolish. your trying to compare uniformed soldiers in an organized military under civilian gov't control to terrorists. there is no comparison to be made here, even you should be able to see that. huh? the u.s. military dismantled some of our bases in saudi arabia based on a prearranged schedule at the behest of the saudi government. it had nothing to do with 'capitulating to the taliban', nor did we remove all of our bases. yes simone, we still have military bases in saudi arabia."
notsarc,431,"really? i think war is one of those things the world absolutely learns nothing from. i mean, we're still fighting, so what exactly are we learning? to use a better and bigger gun? to make more disguisable spy planes? to train the military men more efficiently? wow. but in the end, does it all ever really solve anything? not in my opinion."
sarc,719,"i love how many of the far rights love to say they're independant because they disagree with like maybe one republican issue, or because they have a general mistrust of government... yet on every issue (besides maybe the one) and every vote they are lock and step with the conservatives. michael savage is a far right conservative commentator. that's what he is. you can tell because all of his listeners are far right conservatives, or independants who fit into the category i described above. and you can also tell because he falls on either the conservative side of every single issue, or even further right of the conservative side of every issue. while i'm sure it helps sane conservatives sleep at night to think that hate-mongering lunatic isn't of their ilk, i'm afraid it just isn't true."
sarc,1070,http://www.eurekalert.org/pub_releas...-usd072606.php and that which is a press release and is thus in the range of your scholary skills should provide you with some additonal food for thought. unless of course you consider fishes to have limbs rather than fins and unless you think fish have digits like humans etc.
sarc,482,"oh, darling, doesn't it? if you are, as i believe, 'black', and conservative (heaven help you), to accept and embrace the republican platform, you essentially have sold your birthright down the proverbial river, because republicans care nothing for your black derriere, and would enslave you, all over again, if only they could.  you completely overlook 'white privilege', which dictates that a white person could be homeless, dirty, uneducated, drug-addled, and or criminal, and he would get a pass before you would, simply because of the color of his skin.  you've drunk the koolaid, and can't discern ca ca from truth.  and so you've joined with the white racists and pointed fingers at me, because i upset the applecart, and the status quo, and refuse to bend or mind.  again i ask....are you white? hispanic? asian? or black? not a trick question."
sarc,931,"if we killed more people that were guilty of their crime more people would not want to commit the crime because of the circumstances. if they don't care about the circumstances they are insane. 'i think, about what they've done wrong in society is by teaching/encouraging/inspiring them, not killing.' so you want the government to brainwash them?  are you kidding me? what planet do you live on?! 'oh, you killed someone but we're not going to punish you at all you just have to go to therapy.' you're joking right?"
notsarc,1024,oh really and what is successful implementation of the law then?
notsarc,219,"and a lot of cosmetic surgery. you know, i'm surprised not more comparisons are done with vet care. i had my cat sliced open and a bunch of samples taken and a billion tests and 3-4 nights in the special vet hospital at a vet school. it cost me a fortune! something like $650 bucks. the same procedure which is done in humans (for cancer) costs over $100,000 from what i found out. now you'd expect it to be a lot more but really that much more?"
notsarc,981,"supporting administration's doctrine of pushing iraq deeper into civil war at us expense no longer has public appeal and that's where the votes are. with growing public distrust of administration and congress now at a majority, it'll take a brave or politically suicidal republican congressional member to stay the full course with current administration policy.  i'm somewhat surprised al qaeda hasn't mounted another attack on the us to keep administration in place as their fiscal irresponsibility is al qaeda's best ally. but that could backfire as administration is using iraq to display how they've kept terrorism in the us at bay and another exposed deception could further distance them from public support. al qaeda needs current administration."
notsarc,114,"i'm a little surprised by this. the polls i've seen show that mass voters favor gay marriage. i would have thought that getting those who oppose it to put their opposition on the record before the elections would be beneficial. then again, seeing as how the lies and fear mongering have already started, i can see how they might want to avoid having the elections muddied with the inevitable dirty fighting that would be thrown at them. not the most couragous stance, but perhaps safer in the long run. you are right that the longer society fails to collapse the more inane the doomsayers seem."
sarc,514,"dear old marge, the voice of unreason. the use of plain english confuses him."
sarc,920,you hate broccoli? wow! you really are a giant freak... wait...
notsarc,466,"okay, at least you gave an example for reagan. i personally think the russians were on the decline long before the end of the cold war, and reagan happened to be president when they finally fell, but we can agree to disagree. for bush i hope you're joking, because it has been quite clear that his policies have more than likely created more terrorists than he has helped defeat (not to mention the numerous other bad things he's done as president). in fact the only really good thing that came out of bush's presidency was that his unpopularity paved the way for obama to become president."
notsarc,448,wow what an awkward discussion. there is obviously no reason to sterilize when they are sexually retarded as opposed to mentally retarded and even then mentally retarded can have non mentally retarded children and some of them are able to take care of their offspring depending up the severity of their condition.
sarc,534,"oh, usa is a fiiiiiiiiine one to tell 'make love, not war.' to our fantastic nation!"
notsarc,962,"i'm referring to chemist's assertion that mutations cause a beneficial modification to the morphology of hemoglobin. my two links say the hemoglobin becomes 'abnormal,' thus his example fails.  and you are assuming that this mutation is random. why? cancer mutations are not random...they are lead up to by epigenetic changes. why not this? http://www.eurekalert.org/pub_releas...-nvo122105.php"
sarc,911,"you really don't know how insurance works in this country, do you? it's not always the fault of the person for not having insurance... but you don't know this. if you choose not to get insurance that's your fault, end of story. no, education doesn't cost more because of pell grants! are you kidding me? wow. 'no, it doesn't' very convincing argument..."
notsarc,193,"that's pretty funny, the last two posts that is. that's actually interesting that the term started that way. i'm surprised that no one had coined a term before that though."
notsarc,383,"british kid with too much time on his hands. oh yeah, and he's a virgin."
sarc,546,"i'm always astonished that creationists try the 'lots of cultures have stories about floods' gambit.  yes, lots of cultures have stories about many things. either there was one great flood at one time, or there have been individual floods. since humans tend to congregate in river valleys, i think i know why all the flood stories contradict each other..."
notsarc,244,i'm totally surprised i've posted so many posts in this thread: not like me at all.
notsarc,359,"oh yeah, i forgot that you believe that the corporate media and corporate leaders have gotten together to create war and put innocents in jail. i will admit that the powers of the executive branch have gone way too far, but i still believe that being at war means we have to treat the enemy like our enemy, and not like american civilians. do i agree with the war? no. but that's only because i feel that we could have done this all with special forces and not with an invasion/occupation. i would still support detaining terrorists captured in battle/mission (and if they're americans, give them a proper trial, not a military tribunal or some bullshit like that)."
notsarc,362,the main reason i'm even say that i'm a conserative is my ideology of fiscal responsibility. obama breaking the record on spending. gw not really a true conservative in the matters of budget. kind of shattered that reputation for the republicans. my main guy that i listen to and he is a genius on money is ron paul. i don't believe in all of his policies but when it comes to money and the economy he's the shit.  oh yeah stick to the debate. you can't make laws against teens near the same age that want to have sex. anybody every read the book or see the movie 1984?
notsarc,71,gay marriages should be allowed and there should be not hinderence to it dear. y do you wanna become an obstacle in their way. some men have it internally and if they do then let them. y are we to be bothered??
sarc,1156,wowie! well shut my mouth and watch me wilt!!! lmao. 50times50
sarc,536,how could you?! :'( all i wanted was to contribute to a fantastic community of geniuses!
sarc,744,"i love it when hypocrites say that we are no longer old testament law but proceed to quote the old testament that they just dismissed making themselves out to be fools and hypocrites. you can not have it both ways. either the old testament applies, or it does not. also, do you play football, wear polyester, stuff like that? those are abominations too. for more abominations, read leviticus 11. damn, this is a jolly good time!"
sarc,724,"also i love how you presume to know how i spend my time. you know i should use my skills as an rn to volunteer at clinics, or help out at places such as the red cross, my local domestic violence shelter, food pantry, fire department, or mission. oh wait i already do those things...with my friends. but i'm sure you already knew that."
notsarc,337,"i totally agree, while 9/11 was a terrible tragedy, america has been involved in some very shady dealings with the government and people supporting terrorism in other countries throughout history so while i was shocked and appalled by what happened that day there was part of me that thought you reap what you sow"
sarc,924,wow. the guy on the video is certainly special... and it's difficult to type while sleep deprived and high on ginger beer.
notsarc,45,"archie, dear, most of those who promote dominionism want to return to the laws of the old testament. the same rules that found eating shellfish to be an abomination. to learn more, you can read this: http://www.chalcedon.edu/ebook/godsplanforvictory.pdf"
notsarc,423,wow. talk about condoning brainswashing. kids are being taught it's ok to be gay. they're not fairly allowed to make their own decisions. if they were given a fair chance of making their own decision i can gaurantee you it would be no where near that percentage.
notsarc,334,"if they've started shooting they'll either have to terminate the movie or kill him off :/ like they did with the crow, i guess. i was pretty shocked when i heard about it."
sarc,1116,"i love it when people manipulate statistics in order to attempt to prove a causal relationship that doesn't exist. considering the fact that more women vote than men, one could argue that their views are over-represented. "
notsarc,994,"quite frankly,i am astounded by you homosexuals (or homosexual supporters) who claim to hate judging yet judge religious people.....those who judge and those who don't... if i were to say a controversial statement such as 'whats the point of entering an exit?' you would have been hurt or angered..yet you would make disrespectful,hatred-provoking comments that was quite the opposite of the message you were spewing just arguments prior to your comment."
sarc,543,i'm absolutely astonished that you can't even see what this debate is about. i guess this is because of your disabilitiss though.. i should try and be understanding....
notsarc,310,i love how hamas apologists require showing idf abuses to defend their actions. pathetic.
notsarc,87,"wikipedia is really quite amazing actually. you see the fact that anybody can modify it as a reason to not trust it. that would be a valid concern if it had only a small number of contributors. but, there are millions of contributors. each going over and correcting information supplied by others. in my mind (given the current number of users) wikipedia is a fantastic peer-reviewed source of information."
sarc,799,"oh yeah i forgot, the government is out to get you. okay, carry on with your crazy ass. that is absolutely absurd, get fucking real, i just don't trust them. government only cares about one thing, destroying liberties and gaining power! 'the government needs to be exposed because it cannot be trusted to expose itself, the light of day and the light of truth are the best disinfectants for the government.' lies"
sarc,524,and how do you know for certain provocateaur dearie? what evidence are you using to show that gaydom is different from a chemically based addiction to a drug substance? and what evidence is there that a person can't quit being gay and start being straight if they want to?
notsarc,52,thank you my dear. i am going to fight like hell for happiness. i am damn stubborn like that.
sarc,573,"well, you haven't been right too often on this forum, so i'm not surprised. :)"
notsarc,266,"i think the the p. bagatti is the one that found the burial caves in 1873, not the bagatti who was working in the mid 40's. i have unable to get a copy of the original manuscript the leadership u describes. i think it is only in italian though. i am surprised that such a  'key discovery' from the 19th century is kept so quiet except by claims of an evangilical web site."
notsarc,171,"i think that's an excellent question. since my area of expertise is chemistry and not climatology, i can only speculate that it's a combination of peer pressure, the desire to get funding and their allowing governments to manipulate their findings.  there have been several instances in which members of the ipcc have quit amidst claims that the final reports issued did not reflect their research. since the final ipcc reports are reviewed by politicians prior to being published, i'm not surprised with the claims made. here's a relevent story. "
sarc,631,lol bias dysfunctions. i'm surprised you know such a long word. pity you don't know what it means. i can't blame you... being a retarded ignorant white woman. you don't even understand the absurdity of your own beliefs. go back to cleaning the house. worse is that you don't work yet you take the piss out of immigrants who work but don't pay taxes. you're better how?
sarc,590,"wow, in your very warped world view, people with moral values that defend the most defenseless among us and speak for those who can't speak for themselves are seen as morally perverted by you? how terribly pathetic of you capo. but sadly, i'm not the least bit surprised at how incredibly shallow your perspective is. what boggles the mind though is that you're unable to empathize with a whole class of human beings whom you once were yourself. just think about it capo, can you see what that say's about you?"
sarc,702,"why thank you , and yes i guessed that as you are pretty busy grovelling to the hide and seek champ , so full credit to you and of course the invisible dictator ..., don be shy take a bow ....."
notsarc,452,"you seem to be lost in our jokes, you have to tell people you're joking so they know. and you got the punctuation wrong, in the russian phrase. the only way for it not to sound insane in russian, would be to put it as: '___ _ __. __'. calling someone '__', means things are serious, and you're ready for a fight. if you claim it to be a joke, you're just insane. so i assume that you got the punctuation wrong, and it was your signature."
notsarc,108,"lol, what did you mean by that? i'm not sure, and dont want to assume the tone you infer with. i thought it was funny but wanted to clarify. ps; i have never called anyone a 'fetus worshiper', although at least that label does not elicit the same evil connotations 'pr-abortion does'. @ simone, no worries hun :)"
notsarc,443,"then prove me wrong. you want respect? then earn it. i'll give it to you if you stop meaninglessly attack me with your insults. i'm serious, i'll calm down the second you start delivering real arguments. and 'standard atheist attacks'? wow. you're so close minded, aren't you?"
notsarc,364,oh yeah. that is the one up-side of it. bleh! :p
sarc,828,"plus i think it is great for all the orphans in need of new homes. oh yeah, that's awesome! i would love to leave an orphanage to meet my two new dads!"
notsarc,210,"allright, well then i think it's odd too, arians would have made more sense. i'm surprised they are considered obscure, the council of nicea is historically considered one of the defining moments of the early christian church, and the arian controvery was it's main event. for the record, they were discussed in my high school, that's why i was making sure."
notsarc,57,"loool justin bieber?! oh that is a sad thing to believe :p dear boy (obviously) whitney houston beats michael jackosn demi lovato beats justin bieber karen carpenter beats every singer on earth<3 opera is the most powerfull woman on earth, obama is said to be the most powerfull man on earth, but i seriously think that opera wins this one too. she's a rolemodel, idol, inspiring woman. love her <3"
sarc,1151,"that explains why he's been identified as the most liberal voting senator of 2007...because he hasn't much of a rating. honestly, it is amusing when liberals try to explain things."
sarc,558,"call it what you will - cry, whine, pout, 'put on notice', it's all the same to me. i wasn't trying to be profound that's for sure, apparently, you didn't see the humour either. :p i'm just really amused at how you've got your knickers in a bunch over the #%$# !@#$@ atheists that are coming to 'ruin' everything you cherish. :p the funniest thing, well there's two actually, one, you don't really have a leg to stand on legally despite your claims to the contrary, and two, the threat is mostly in your head. boo hoo. emoticonxcry  waxy"
sarc,694,"so basically, what you are advocating here is that public schools should teach no moral values whatever. they shouldn't teach tolerance, because that offends the intolerant; they shouldn't teach racial equality, because that offends racists; they shouldn't teach religious freedom, because that offends religious bigots. maybe they shouldn't teach the immorality of theft and murder because that offends thieves and murderers.  i am truly surprised to hear a right-winger such as your good self advocating that public schools should promote a moral vacuum. but then, i suppose anything is better than teaching acceptance of gay families as just another sort of family among the many that exist today."
notsarc,995,"that is a poor argument. if you want to become better at debate, in general, don't make statements you cannot back up, but never say that your using 'what i've been told' as an argument. your opposition will tear you apart. :)  lol, it's not like i care that much for this debate, but i will take that into consideration :) i am impressed with your willingness to debate any topic with an open mind compared to many others i have seen on this site and would enjoy debating you in a more formal structure. if you agree, of course. thank you, and of course. i'd love to debate with you."
sarc,1054,"oh, i agree with you...oh wait, did a clarify argument show up in the argument listing? damn! i think it did!"
sarc,669,"i am really surprised you think that there are less than 500 incidents of people dying of second hand smoking. if you know that less about smoke, then i think we should stop right here. yet, you want to remove that right from all people, which i think is unreasonable and despotic. i want to remove the right from parents to destroy their children's lungs. thats what i'm trying to do. when do you think we have freedom? is it when alcohol, marijuana and whatever you can come up with is legalized without age limit? how is that freedom. how is it freedom to be forced to live in a smoke that kills you. i don't understand you people.. to become a free country, legalize everything. legalize murder, legalize robbery.. as long as you feel free, who cares about others?"
notsarc,209,"well, i can't say that i'm surprised. just another politician for ya. they're all the same."
sarc,561,"she? uh, you don't know me like that, miss thing. you're the one with more pudenda than the pointer sisters. and i'm not eating any attention. i'm mildly amused. i haven't seen any evidence of your reputed prowess here. and why don't you ask the real monkey to dance? somebody at home."
sarc,922,"hold on, you're truly religious? wow! how is that possible? you believe in a big magical being that controls everything because your mommy told you that was the case? if your mom told you that there was a giant pancake in the sky you would believe that. don't be such a naive fucking zealot. god isn't real, however reassuring it is to you."
sarc,738,i love it how no mention of bush can go long without the word nazi! emoticonxrolleyes
notsarc,947,"darling, you're too sensitive. i've never had an issue with your debates. it was a parody of some of the new ones out. you've probably seen them, they ask a question then give yes, because and no, because for the answers when they are clearly not a question that can be answered yes or no. if i had a problem with yours, i'd be enough of a friend to kindly point it out. again, you're cool with me, don't worry.edit: i see where you've seen what i was referring to. it's early here and i'm not yet awake. but i have to get crank-started and get ready for class."
notsarc,406,"take another look. we certainly do have our hands firmly on the levers of power. sixty us senators, a substantial majority in the house, a president who represents the death of reaganism once and for all. a solidly pro-choice president and congress. a president and a congress who understand that each of us is responsible for all the rest of us. oh yes, this country will emerge from the bush depression and the optional bush wars with a new sense of direction and a new prosperity. by the next election, there will be so few congressional republicans that they can caucus in the mens' room - provided, of course, that larry craig has not returned for a visit and is using it for other purposes. the naysayers can either get on the train or get left at the station.emoticonxsmilie"
notsarc,271,i am surprised that some of the more conservative christians are not weighing in on source of some of the christian terminology and concepts.
notsarc,463,"i'm pretty sure you're joking... but still, if one has the power to acquire and manipulate knowledge sufficiently well, then one can learn to protect himself from bombs and such. my house was recently afflicted by ants. massive amounts of ants. yet their numbers did not amount to much after the strategic placement of a few of these."
notsarc,200,"reminds me of the cold war clamor of necessary 'defense' nuclear weapon parity with russia. considering the threats we make directed towards iran and others along with our occupation of iraq, i'm surprised our conceit hasn't made all of me and asia scramble for nukes. pakistan, 97% muslim, hides bin laden, governed by a general constantly avoiding assassination attempts, never a bad word about that us 'ally'. but they have nukes and delivery systems. i'd think iran believes, as we've shown, that the us doesn't spew the democracy at the point of a gun policy to those nations possessing nuclear weapons."
